use	name	type	size	buckets	weight_fc	mean	stddev	normalize
TRUE	age_province_category	Cat	1	13440	""	""	""	FALSE
TRUE	model	Cat	1	132.0	""	""	""	FALSE
TRUE	pushClickedNumByHourLast30d	Num	24	1.0	""	0.09406938278534382,0.04808378615482186,0.03384504555468883,0.03251807050535541,0.044990089120572424,0.0825983961390661,0.13495811355193985,0.31789725832149257,0.6250417096653724,0.5811344145067874,0.6239699646213647,0.5810891139430715,0.6280691131917452,0.5462264630424742,0.48407961408339284,0.48848039811461264,0.497925013203457,0.560161358398172,0.5823387465665487,0.6550008507666845,0.5935578178828947,0.5493643557486415,0.4874495340671288,0.23403155129018216	1.1771498294619942,0.7943456445194377,0.6108295294722644,0.5393438336917054,0.6432549764326798,0.9304367894725355,1.2858584565841884,1.8762812664169066,3.5051726259129095,3.4713284001484603,3.5080474224940565,3.5475792451618084,3.721491066911346,3.2332955246063175,2.8893380811715357,2.9215317255240194,2.9823385223245866,3.2941970326402266,3.5440505017448998,3.552832125384278,3.5798656406687175,3.3394951324700126,3.3417724571245113,2.073398312072895	TRUE
TRUE	pushCtrLast30d	Num	1	1.0	""	0.011036905063568088	0.04228563981861103	TRUE
TRUE	lastClickedHour	Cat	1	27.0	""	""	""	FALSE
TRUE	source	Cat	1	116.0	""	""	""	FALSE
TRUE	age_subCategory	Cat	1	1008	""	""	""	FALSE
TRUE	dayOfWeek_category	Cat	1	256	""	""	""	FALSE
TRUE	lastClickedArticleCategory	Cat	1	61.0	""	""	""	FALSE
TRUE	pushAllUserCtrLast30d	Num	1	1.0	""	0.005641198360090605	3.183256199838123E-5	TRUE
TRUE	dynamicQuality	Num	1	1.0	""	2.1816846467719438E-4	0.012304294988475278	TRUE
TRUE	receivedMiPushAvgCountInLast7Days	Num	1	1.0	""	18.463037973322713	11.604922297686052	TRUE
TRUE	clickedBrowserArticleAvgCount	Num	3	1.0	""	2.513283701680281,2.4263443818271746,2.430331125606393	21.04060666819363,16.36292206381928,14.751634777382876	TRUE
