use	name	type	size	buckets	weight_fc	mean	stddev	normalize
TRUE	pushExposeNumLast30d	Num	1	1.0	""	2.129031246688875E-8	0.9999999929977099	TRUE
TRUE	pushClickedNumByHourLast1d	Num	24	1.0	""	-1.2613244764684366E-9,2.360677706112068E-9,1.3872053558705105E-9,2.6966180698968494E-9,1.2771926272923721E-11,-1.7672669195072104E-9,6.420989176695182E-9,5.56004523747946E-9,1.0960634910581812E-9,7.257550347571686E-9,-1.022063724288999E-8,-1.7205332801903757E-8,-1.950660169944329E-8,3.353598216814668E-9,3.429068690245581E-9,5.5809447531987896E-9,3.4033313236652954E-9,2.577993966786209E-9,-5.1397327546796064E-9,-3.76307391368598E-9,8.055989253663856E-9,-5.398267504689093E-9,-7.56252846584635E-9,9.665638992121122E-9	0.9999999788962215,1.0000000228422385,0.9999999701687147,0.9999999990781859,0.9999999556936633,1.000000049492964,0.9999999997638547,1.0000000514198883,0.9999999591684007,0.9999999976682078,1.0000000129774174,1.0000000063965782,1.000000018549397,0.9999999779546995,1.000000053575203,1.000000013617415,0.9999999876486272,1.0000000046579218,1.0000000247978875,1.0000000027102474,0.9999999754705226,0.9999999990604415,0.9999999611877681,1.0000000202220989	TRUE
TRUE	pushClickedNumByDayOfWeekLast28d	Num	7	1.0	""	0.0,-3.4114000186877955E-9,-1.6333778454148367E-9,-1.8442624001988446E-9,1.7623262426840192E-9,7.057880124150491E-9,1.6400830865208218E-9	1.0,1.0000000399557516,1.0000000422561148,1.0000000411861107,1.0000000256777313,0.9999999672566272,1.0000000445600736	TRUE
TRUE	residentCountry	Cat	1	5.0	""	""	""	FALSE
TRUE	district	Cat	1	3.0	""	""	""	FALSE
TRUE	imgNum	Num	1	1.0	""	-1.3699983557470173E-9	0.9999999991288414	TRUE
TRUE	receivedMiPushAvgCountInLast7Days	Num	1	1.0	""	3.018381205254106E-8	1.0000000221110412	TRUE
TRUE	titleEditedVectorBert	Num	256	1.0	""	""	""	FALSE
TRUE	pushClickNumLast7d	Num	1	1.0	""	4.716079292983656E-9	1.0000000357813688	TRUE
TRUE	residentProvince	Cat	1	35.0	""	""	""	FALSE
TRUE	cmsCoPorn	Num	1	1.0	""	0.0	1.0	TRUE
TRUE	pushExposeNumLast7d	Num	1	1.0	""	-4.783167264012646E-8	0.9999999970871215	TRUE
TRUE	modelLevel	Cat	1	6.0	""	""	""	FALSE
TRUE	clickedPushAvgCountInLast7Days	Num	1	1.0	""	5.421723734910982E-9	0.9999999996806226	TRUE
TRUE	feedClickCatList	Seq	10	1.0	""	""	""	FALSE
TRUE	hotTopicRelevancy	Num	1	1.0	""	0.0	1.0	TRUE
TRUE	pushAllUserCtrLast30d	Num	1	1.0	""	2.9338199458388248E-6	1.0000000244644887	TRUE
TRUE	pushSourceCtr7day	Num	1	1.0	""	4.128953426730182E-8	0.9999999632431652	TRUE
TRUE	pushCategoryCtr7day	Num	1	1.0	""	4.407270563324848E-8	0.9999999684172215	TRUE
TRUE	model	Cat	1	133.0	""	""	""	FALSE
TRUE	subCategory	Cat	1	89.0	""	""	""	FALSE
TRUE	gapDays	Num	1	1.0	""	5.912409790595711E-9	1.000000029908633	TRUE
TRUE	lastDayDayOfWeek	Cat	1	10.0	""	""	""	FALSE
TRUE	lastClickedHour	Cat	1	27.0	""	""	""	FALSE
TRUE	hotHeat	Num	1	1.0	""	0.0	1.0	TRUE
TRUE	clickedBrowserArticleAvgCount	Num	3	1.0	""	-2.049232820716946E-9,-1.0381079257547684E-9,5.052740600702015E-10	1.0000000440429848,0.9999999806894464,1.0000000291512972	TRUE
