name	mean	stddev
feedClickByCatLast7d_20	0.03272507491710212	0.8272885697858819
feedClickByCatLast7d_21	0.038893630854069564	0.6888595021654624
feedClickByCatLast7d_22	0.0020672156532216546	0.1849697919081861
feedClickByCatLast7d_23	0.0	1.0
clickedPushAvgCountInLast7Days	0.31843356824325014	1.4786829976537919
clickedMiPushAvgCountInLast7Days	0.11892965754090683	0.7389044459817738
pushAvgCtrInLast7Days	0.007770728346864515	0.023340144637426726
active_0	0.014777238375647164	0.04190921448214227
clickedTokenEmbedding_19	-0.02129471095798485	0.14131280602589208
clickedTokenEmbedding_20	0.02357191725747413	0.11969325924614402
clickedTokenEmbedding_21	-0.013938754371362357	0.1341379872519271
clickedTokenEmbedding_22	-0.031162202421654264	0.16695900594021415
clickedTokenEmbedding_23	-0.05058055201026114	0.2253267480718637
feedExposeByCatLast7d_34	0.7471855598563071	11.74190391835664
feedExposeByCatLast7d_35	0.5590397374519328	16.665788836158168
feedClickByCatLast7d_0	0.3801477222183832	10.219719894017866
feedClickByCatLast7d_1	0.13244584508145746	2.624449639381868
feedClickByCatLast7d_2	0.012854889052613753	0.5793115738925985
feedCtrByCatLast7d_6	0.00961615507634972	0.1794370581431474
feedCtrByCatLast7d_7	8.026545605709964E-5	0.0083884993476378
feedCtrByCatLast7d_8	0.015526295103507434	0.1035380011083108
feedCtrByCatLast7d_9	0.005157084891403889	0.07082524903135994
clickedTokenEmbedding_37	0.0168917307902802	0.1195094157806588
clickedTokenEmbedding_38	0.010833891411874418	0.10751834182973324
clickedTokenEmbedding_39	0.05098347413710193	0.24088504922607293
clickedTokenEmbedding_40	-0.03749175883622254	0.20114137851004663
pushClickedNumByHourLast30d_22	0.1523605444352558	1.3176612276177624
pushClickedNumByHourLast30d_23	0.07498777807729738	0.8859604715719941
pushClickedNumByDayOfWeekLast28d_0	0.0	1.0
pushClickedNumByDayOfWeekLast28d_1	0.48519478913646474	2.7603506146930044
pushClickedNumByDayOfWeekLast28d_2	0.4768841347348497	2.8053253827154605
clickedTokenEmbedding_145	-0.017577245673718808	0.13420128657223016
clickedTokenEmbedding_146	1.8652945419457917E-4	0.1007319833086158
clickedTokenEmbedding_147	-0.013050105495126254	0.12844817385177576
clickedTokenEmbedding_148	-0.01616654192088997	0.10259418652770685
clickedTokenEmbedding_196	-0.017338185707446056	0.11578934022494286
clickedTokenEmbedding_197	-0.03110701870246862	0.16060790025049165
clickedTokenEmbedding_198	-0.04478226474123854	0.19957973223788156
clickedTokenEmbedding_199	-0.021400854281366486	0.11992854883603112
pushExposeNumLast7d	111.32879158809097	52.094056273429935
clickedTokenEmbedding_6	0.015216284289643858	0.12031586094640251
clickedTokenEmbedding_7	0.04677630698516492	0.21385556685526752
clickedTokenEmbedding_8	0.05664362530667336	0.31131849784756305
